code,term,id,type,bnf_code,chemical
19506911000001105,Eliquis 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),19506911000001105,amp,0208020Z0BBAAAA,Apixaban
21677511000001105,Eliquis 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),21677511000001105,amp,0208020Z0BBABAB,Apixaban
29902111000001100,Lixiana 15mg tablets (Daiichi Sankyo UK Ltd),29902111000001100,amp,0208020AABBAAAA,Edoxaban
29902411000001105,Lixiana 30mg tablets (Daiichi Sankyo UK Ltd),29902411000001105,amp,0208020AABBABAB,Edoxaban
29902711000001104,Lixiana 60mg tablets (Daiichi Sankyo UK Ltd),29902711000001104,amp,0208020AABBACAC,Edoxaban
13505411000001109,Pradaxa 110mg capsules (Boehringer Ingelheim Ltd),13505411000001109,amp,0208020X0BBABAB,Dabigatran etexilate
19465811000001104,Pradaxa 150mg capsules (Boehringer Ingelheim Ltd),19465811000001104,amp,0208020X0BBACAC,Dabigatran etexilate
13504711000001102,Pradaxa 75mg capsules (Boehringer Ingelheim Ltd),13504711000001102,amp,0208020X0BBAAAA,Dabigatran etexilate
14237311000001106,Xarelto 10mg tablets (Bayer Plc),14237311000001106,amp,0208020Y0BBAAAA,Rivaroxaban
34793111000001102,Xarelto 15mg / 20mg treatment initiation pack (Bayer Plc),34793111000001102,amp,0208020Y0BBAEAE,Rivaroxaban
19840811000001107,Xarelto 15mg tablets (Bayer Plc),19840811000001107,amp,0208020Y0BBABAB,Rivaroxaban
27160311000001106,Xarelto 2.5mg tablets (Bayer Plc),27160311000001106,amp,0208020Y0BBADAD,Rivaroxaban
19841411000001101,Xarelto 20mg tablets (Bayer Plc),19841411000001101,amp,0208020Y0BBACAC,Rivaroxaban
703907006,Apixaban 2.5mg tablets,703907006,vmp,0208020Z0AAAAAA,Apixaban
703908001,Apixaban 5mg tablets,703908001,vmp,0208020Z0AAABAB,Apixaban
13532811000001109,Dabigatran etexilate 110mg capsules,13532811000001109,vmp,0208020X0AAABAB,Dabigatran etexilate
19469811000001101,Dabigatran etexilate 150mg capsules,19469811000001101,vmp,0208020X0AAACAC,Dabigatran etexilate
13532911000001104,Dabigatran etexilate 75mg capsules,13532911000001104,vmp,0208020X0AAAAAA,Dabigatran etexilate
29903211000001100,Edoxaban 15mg tablets,29903211000001100,vmp,0208020AAAAAAAA,Edoxaban
29903311000001108,Edoxaban 30mg tablets,29903311000001108,vmp,0208020AAAAABAB,Edoxaban
29903411000001101,Edoxaban 60mg tablets,29903411000001101,vmp,0208020AAAAACAC,Edoxaban
14254711000001104,Rivaroxaban 10mg tablets,14254711000001104,vmp,0208020Y0AAAAAA,Rivaroxaban
19842111000001101,Rivaroxaban 15mg tablets,19842111000001101,vmp,0208020Y0AAABAB,Rivaroxaban
34819111000001102,Rivaroxaban 15mg tablets and Rivaroxaban 20mg tablets,34819111000001102,vmp,0208020Y0AAAEAE,Rivaroxaban
27810711000001104,Rivaroxaban 2.5mg tablets,27810711000001104,vmp,0208020Y0AAADAD,Rivaroxaban
19842211000001107,Rivaroxaban 20mg tablets,19842211000001107,vmp,0208020Y0AAACAC,Rivaroxaban
19524611000001102,VMP previous to 703907006,19524611000001102,vmp,0208020Z0AAAAAA,Apixaban
21681211000001107,VMP previous to 703908001,21681211000001107,vmp,0208020Z0AAABAB,Apixaban
42206411000001101,VMP subsequent to 703907006,42206411000001101,vmp,0208020Z0AAAAAA,Apixaban
42206511000001102,VMP subsequent to 703908001,42206511000001102,vmp,0208020Z0AAABAB,Apixaban
